canonical_name,lat,lng,elevation_ft
Rockford city,42.25884,-89.06455,731.2
Bloomington city,39.1637,-86.52426,815.3
Brownsburg town,39.83444,-86.38569,874.9
Danville town,39.75881,-86.49528,866.5
Elkhart city,41.69154,-85.96225,741.8
Plainfield town,39.69319,-86.37198,742.5
South Bend city,41.67664,-86.26881,719.1
Westfield city,40.03601,-86.15221,902.1
Zionsville town,39.99153,-86.32175,930.2
Overland Park city,38.88904,-94.69058,944.7
Salina city,38.81309,-97.61448,1236.5
Topeka city,39.03468,-95.69482,932.8
Shreveport city,32.46688,-93.79219,219.6
Beverly city,42.55666,-70.84496,77.4
Cambridge city,42.37604,-71.11868,23.1
Hanson CDP,42.06503,-70.84977,83.5
Marblehead CDP,42.49563,-70.83582,41.7
Methuen Town city,42.74264,-71.17865,142.5
Newton city,42.33177,-71.2084,111.6
Salem city,42.49925,-70.8982,57.1
Scituate CDP,42.18029,-70.73439,29.6
Topsfield CDP,42.6394,-70.95528,75.1
Waltham city,42.38892,-71.24227,84.6
Wellesley CDP,42.30593,-71.28292,138.3
Worcester city,42.26948,-71.80778,495.1
Annapolis city,38.97215,-76.50533,34.8
Bel Air CDP,39.58126,-78.85547,858.2
Brookeville town,39.18251,-77.05973,430.6
Cabin John CDP,38.97401,-77.16384,138.1
Chevy Chase town,38.98189,-77.0832,335.9
Darnestown CDP,39.08871,-77.31178,335.7
Gaithersburg city,39.1486,-77.19513,444.7
Huntingtown CDP,38.61235,-76.62154,148.4
Mount Airy town,39.37469,-77.15381,812.5
North Potomac CDP,39.09677,-77.2385,386.0
Silver Spring CDP,39.00244,-77.02079,279.6
Upper Marlboro town,38.8165,-76.75367,52.9
Fort Kent CDP,47.25174,-68.58722,518.7
Yarmouth CDP,43.80382,-70.18858,72.5
Caro city,43.4893,-83.40174,724.4
Dexter city,42.33226,-83.88103,936.1
Farmington Hills city,42.48565,-83.37596,855.6
Flint city,43.02442,-83.69197,729.2
Grand Blanc city,42.93254,-83.62049,845.5
Grosse Pointe Park city,42.37395,-82.92344,575.7
Grosse Pointe Woods city,42.43926,-82.89896,579.8
Harbor Springs city,45.43248,-84.9891,696.0
Jackson city,42.24216,-84.40204,945.3
Novi city,42.47849,-83.48682,922.7
Rochester Hills city,42.66348,-83.1592,805.1
Andover city,45.25242,-93.3374,871.2
Apple Valley city,44.7453,-93.19941,968.1
Arden Hills city,45.07116,-93.16547,928.9
Bloomington city,44.82967,-93.31522,808.9
Brooklyn Park city,45.11091,-93.34909,868.1
Burnsville city,44.76441,-93.27937,960.2
Chisholm city,47.48753,-92.8794,1502.6
Farmington city,44.65916,-93.16871,907.3
Maple Grove city,45.11276,-93.46298,896.7
Richfield city,44.87435,-93.28244,841.6
Savage city,44.75906,-93.36421,904.9
St. Paul city,44.9489,-93.10406,842.5
