city,state,lat,lng,canonical_name,strategy,n_athletes
Weston,FL,26.10039,-80.40206,Weston city,direct,3
Winter Park,FL,28.59663,-81.34575,Winter Park city,direct,3
Athens,GA,33.9496,-83.37009,Athens-Clarke County unified government (balance),state-starts,3
Douglasville,GA,33.73678,-84.70107,Douglasville city,direct,3
Lawrenceville,GA,33.95287,-83.99223,Lawrenceville city,direct,3
Moultrie,GA,31.17943,-83.79079,Moultrie city,direct,3
Woodstock,GA,34.10314,-84.513,Woodstock city,direct,3
Kailua,HI,19.64558,-155.99775,Kailua CDP,direct,3
Laie,HI,21.64554,-157.92285,Laie CDP,direct,3
Ketchum,ID,43.68772,-114.38007,Ketchum city,direct,3
Aurora,IL,41.76346,-88.2901,Aurora city,direct,3
Carpentersville,IL,42.12274,-88.2939,Carpentersville village,direct,3
Crystal Lake,IL,42.23321,-88.33436,Crystal Lake city,direct,3
Glen Ellyn,IL,41.86671,-88.06271,Glen Ellyn village,direct,3
Glenview,IL,42.08516,-87.82739,Glenview village,direct,3
Oak Park,IL,41.88716,-87.78994,Oak Park village,direct,3
Wheaton,IL,41.85683,-88.10813,Wheaton city,direct,3
Winnetka,IL,42.10621,-87.74276,Winnetka village,direct,3
Evansville,IN,37.98774,-87.53471,Evansville city,direct,3
Fishers,IN,39.96183,-85.96836,Fishers city,direct,3
Lafayette,IN,40.39941,-86.86281,Lafayette city,direct,3
Lawrenceburg,IN,39.10739,-84.87577,Lawrenceburg city,direct,3
Lexington,KY,38.04068,-84.45827,Lexington-Fayette urban county,state-starts,3
New Orleans,LA,30.05342,-89.9345,New Orleans city,direct,3
Hingham,MA,42.23314,-70.88953,Hingham CDP,direct,3
Medfield,MA,42.18701,-71.30041,Medfield CDP,direct,3
Norwood,MA,42.18736,-71.19597,Norwood CDP,direct,3
Ellicott City,MD,39.27669,-76.83395,Ellicott City CDP,direct,3
Frederick,MD,39.43409,-77.41454,Frederick city,direct,3
Laurel,MD,39.09508,-76.86124,Laurel city,direct,3
Waldorf,MD,38.60917,-76.91978,Waldorf CDP,direct,3
Detroit,MI,42.38304,-83.10224,Detroit city,direct,3
Lansing,MI,42.71434,-84.56089,Lansing city,direct,3
Muskegon,MI,43.22654,-86.25725,Muskegon city,direct,3
Plymouth,MI,42.37125,-83.46762,Plymouth city,direct,3
Blaine,MN,45.17052,-93.20609,Blaine city,direct,3
Edina,MN,44.89112,-93.35975,Edina city,direct,3
Elk River,MN,45.33221,-93.56653,Elk River city,direct,3
Roseville,MN,45.01562,-93.15381,Roseville city,direct,3
Saint Paul,MN,44.9489,-93.10406,St. Paul city,direct,3
Shoreview,MN,45.08299,-93.14049,Shoreview city,direct,3
Warroad,MN,48.9171,-95.32798,Warroad city,direct,3
White Bear Lake,MN,45.06521,-93.01287,White Bear Lake city,direct,3
Kansas City,MO,39.12236,-94.55512,Kansas City city,direct,3
O'Fallon,MO,38.78467,-90.72074,O'Fallon city,direct,3
St. Charles,MO,38.7957,-90.51536,St. Charles city,direct,3
Butte,MT,45.89623,-112.66007,Butte-Silver Bow (balance),state-starts,3
Whitefish,MT,48.43799,-114.34803,Whitefish city,direct,3
Cary,NC,35.7813,-78.82344,Cary town,direct,3
Fayetteville,NC,35.08277,-78.97352,Fayetteville city,direct,3
Huntersville,NC,35.40681,-80.86868,Huntersville town,direct,3
Bismarck,ND,46.81458,-100.77009,Bismarck city,direct,3
Devils Lake,ND,48.11258,-98.87476,Devils Lake city,direct,3
Norfolk,NE,42.02822,-97.42781,Norfolk city,direct,3
Nashua,NH,42.74907,-71.49054,Nashua city,direct,3
Cherry Hill,NJ,39.93821,-75.01236,Cherry Hill Mall CDP,state-starts,3
Newark,NJ,40.72422,-74.17257,Newark city,direct,3
Plainfield,NJ,40.61544,-74.41577,Plainfield city,direct,3
Short Hills,NJ,40.73916,-74.32744,Short Hills CDP,direct,3
Toms River,NJ,39.99486,-74.18775,Toms River CDP,direct,3
Albany,NY,42.66575,-73.79835,Albany city,direct,3
Briarcliff Manor,NY,41.14033,-73.8475,Briarcliff Manor village,direct,3
Bronx,NY,40.8448,-73.8648,New York City (Bronx),override,3
Fairport,NY,43.09947,-77.44307,Fairport village,direct,3
Levittown,NY,40.72399,-73.51271,Levittown CDP,direct,3
Rye,NY,40.94474,-73.68637,Rye city,direct,3
Syracuse,NY,43.041,-76.14355,Syracuse city,direct,3
Akron,OH,41.08046,-81.52143,Akron city,direct,3
Powell,OH,40.16769,-83.08155,Powell city,direct,3
Shaker Heights,OH,41.47609,-81.5492,Shaker Heights city,direct,3
Solon,OH,41.38599,-81.44084,Solon city,direct,3
Oklahoma City,OK,35.46708,-97.51366,Oklahoma City city,direct,3
Gresham,OR,45.50232,-122.44161,Gresham city,direct,3
Broomall,PA,39.96882,-75.35413,Broomall CDP,direct,3
Doylestown,PA,40.3142,-75.1277,Doylestown borough,direct,3
Mount Joy,PA,40.11061,-76.50572,Mount Joy borough,direct,3
Perkasie,PA,40.37174,-75.29277,Perkasie borough,direct,3
Spring City,PA,40.1769,-75.54647,Spring City borough,direct,3
Yardley,PA,40.24029,-74.83893,Yardley borough,direct,3
Gallatin,TN,36.38152,-86.46702,Gallatin city,direct,3
Colleyville,TX,32.89148,-97.14975,Colleyville city,direct,3
El Paso,TX,31.84778,-106.43111,El Paso city,direct,3
Grand Prairie,TX,32.68611,-97.0208,Grand Prairie city,direct,3
Keller,TX,32.93288,-97.22451,Keller city,direct,3
McKinney,TX,33.20112,-96.66416,McKinney city,direct,3
New Braunfels,TX,29.69931,-98.11513,New Braunfels city,direct,3
Pasadena,TX,29.655,-95.15105,Pasadena city,direct,3
The Colony,TX,33.0896,-96.90337,The Colony city,direct,3
Bountiful,UT,40.87248,-111.8612,Bountiful city,direct,3
Herriman,UT,40.49173,-112.02034,Herriman city,direct,3
Provo,UT,40.24531,-111.64506,Provo city,direct,3
Chantilly,VA,38.88918,-77.44209,Chantilly CDP,direct,3
Chesapeake,VA,36.67938,-76.30179,Chesapeake city,direct,3
Fredericksburg,VA,38.29927,-77.48666,Fredericksburg city,direct,3
Hampton,VA,37.04796,-76.29729,Hampton city,direct,3
Norfolk,VA,36.92301,-76.24464,Norfolk city,direct,3
Oakton,VA,38.88944,-77.30223,Oakton CDP,direct,3
Norwich,VT,43.71802,-72.30566,Norwich CDP,direct,3
Auburn,WA,47.30377,-122.21,Auburn city,direct,3
Bellingham,WA,48.75344,-122.47018,Bellingham city,direct,3
Vancouver,WA,45.63716,-122.59657,Vancouver city,direct,3
Yakima,WA,46.59094,-120.5494,Yakima city,direct,3
Appleton,WI,44.27887,-88.38828,Appleton city,direct,3
Delafield,WI,43.06742,-88.38883,Delafield city,direct,3
West Bend,WI,43.41749,-88.18169,West Bend city,direct,3
Palmer,AK,61.59717,-149.11468,Palmer city,direct,2
Dothan,AL,31.2337,-85.40682,Dothan city,direct,2
Morris,AL,33.74622,-86.80075,Morris town,direct,2
Tuscaloosa,AL,33.2344,-87.5283,Tuscaloosa city,direct,2
Avondale,AZ,33.31324,-112.32893,Avondale city,direct,2
Litchfield Park,AZ,33.50176,-112.35947,Litchfield Park city,direct,2
Alameda,CA,37.74191,-122.25991,Alameda city,direct,2
